,assembly,dataset,conservation_scores,conservation_score_version,region,window_size,imputed,nan_rate,total_rows,nan_rows_number,nan_rate_without_nan_rows
202,hg38,fantom,phastCons,phastCons100way,promoters,512,True,0.000210250197735305,99881,21,0.0
203,hg38,fantom,phastCons,phastCons100way,promoters,512,False,0.00042990611953224334,99881,21,0.00021970211420989385
204,hg38,fantom,phyloP,phyloP4way,promoters,512,True,0.016449574994243148,99881,1643,0.0
205,hg38,fantom,phyloP,phyloP4way,promoters,512,False,0.06676495811265405,99881,1643,0.051156892254015755
206,hg38,fantom,phyloP,phyloP7way,promoters,512,True,0.0007408816491625034,99881,74,0.0
207,hg38,fantom,phyloP,phyloP7way,promoters,512,False,0.0023333430845205796,99881,74,0.0015936421355716532
208,hg38,fantom,phyloP,phyloP17way,promoters,512,True,0.00012014297013446,99881,12,0.0
209,hg38,fantom,phyloP,phyloP17way,promoters,512,False,0.0007145417108859543,99881,12,0.0005944701621624328
210,hg38,fantom,phyloP,phyloP20way,promoters,512,True,0.00012014297013446,99881,12,0.0
211,hg38,fantom,phyloP,phyloP20way,promoters,512,False,0.00047054041184008973,99881,12,0.0003504395445533649
212,hg38,fantom,phyloP,phyloP30way,promoters,512,True,7.008339924510167e-05,99881,7,0.0
213,hg38,fantom,phyloP,phyloP30way,promoters,512,False,0.0004575562106406624,99881,7,0.0003874999687105753
214,hg38,fantom,phyloP,phyloP100way,promoters,512,True,0.000210250197735305,99881,21,0.0
215,hg38,fantom,phyloP,phyloP100way,promoters,512,False,0.00042990611953224334,99881,21,0.00021970211420989385
216,hg38,fantom,phastCons,phastCons4way,promoters,1024,True,0.011723951502287722,99881,1171,0.0
217,hg38,fantom,phastCons,phastCons4way,promoters,1024,False,0.1098992664552067,99881,1171,0.09933997196649276
218,hg38,fantom,phastCons,phastCons7way,promoters,1024,True,0.0006307505932059151,99881,63,0.0
219,hg38,fantom,phastCons,phastCons7way,promoters,1024,False,0.003819359490919194,99881,63,0.00319062138404396
220,hg38,fantom,phastCons,phastCons17way,promoters,1024,True,8.009531342297334e-05,99881,8,0.0
221,hg38,fantom,phastCons,phastCons17way,promoters,1024,False,0.001010479814729528,99881,8,0.0009304590267139267
222,hg38,fantom,phastCons,phastCons20way,promoters,1024,True,8.009531342297334e-05,99881,8,0.0
223,hg38,fantom,phastCons,phastCons20way,promoters,1024,False,0.0007904914660946526,99881,8,0.0007104530566319226
224,hg38,fantom,phastCons,phastCons30way,promoters,1024,True,5.005957088935834e-05,99881,5,0.0
225,hg38,fantom,phastCons,phastCons30way,promoters,1024,False,0.0006363236313713319,99881,5,0.0005862934100784973
226,hg38,fantom,phastCons,phastCons100way,promoters,1024,True,0.00017020254102381835,99881,17,0.0
227,hg38,fantom,phastCons,phastCons100way,promoters,1024,False,0.0007503753685635906,99881,17,0.0005802715912390852
228,hg38,fantom,phyloP,phyloP4way,promoters,1024,True,0.011723951502287722,99881,1171,0.0
229,hg38,fantom,phyloP,phyloP4way,promoters,1024,False,0.1098992664552067,99881,1171,0.09933997196649276
230,hg38,fantom,phyloP,phyloP7way,promoters,1024,True,0.0006307505932059151,99881,63,0.0
231,hg38,fantom,phyloP,phyloP7way,promoters,1024,False,0.003819359490919194,99881,63,0.00319062138404396
232,hg38,fantom,phyloP,phyloP17way,promoters,1024,True,8.009531342297334e-05,99881,8,0.0
233,hg38,fantom,phyloP,phyloP17way,promoters,1024,False,0.001010479814729528,99881,8,0.0009304590267139267
234,hg38,fantom,phyloP,phyloP20way,promoters,1024,True,8.009531342297334e-05,99881,8,0.0
235,hg38,fantom,phyloP,phyloP20way,promoters,1024,False,0.0007904914660946526,99881,8,0.0007104530566319226
236,hg38,fantom,phyloP,phyloP30way,promoters,1024,True,5.005957088935834e-05,99881,5,0.0
237,hg38,fantom,phyloP,phyloP30way,promoters,1024,False,0.0006363236313713319,99881,5,0.0005862934100784973
238,hg38,fantom,phyloP,phyloP100way,promoters,1024,True,0.00017020254102381835,99881,17,0.0
239,hg38,fantom,phyloP,phyloP100way,promoters,1024,False,0.0007503753685635906,99881,17,0.0005802715912390852
